Name,Movie,Year,Cause of Death
William Fichtner,Drowning Mona,2000,Drowning
William Fichtner,The Perfect Storm,2000,Drowning
William Fichtner,Blades of Glory,2007,Cutting Instrument
William Fichtner,The Dark Knight,2008,Firearms
William Fichtner,The Big Bang,2010,Strangulation
William Fichtner,The Lone Ranger,2013,Other
William Fichtner,Elysium,2013,Firearms
William Fichtner,All the Devils Men,2018,Supernatural
William Fichtner,Hypnotic,2023,Firearms
William Fichtner,Turok,2008,Firearms
William Fichtner,Call of Duty: Modern Warfare 3,2011,Explosives
Dakota Fanning,Nine Lives,2005,Other
Dakota Fanning,Now Is Good,2012,Ailment
Dakota Fanning,The Twilight Saga: Breaking Dawn Part 2,2012,Cutting Instrument
Dakota Fanning,Night Moves,2013,Strangulation
Dakota Fanning,Every Secret Thing,2014,Cutting Instrument
Dakota Fanning,Brimstone,2016,Drowning
Fiona Medaris,Twixt,2011,Drowning
Bruce A. Miroglio,Twixt,2011,Cutting Instrument
Barry Pepper,Enemy of the State,1998,Firearms
Barry Pepper,Firestorm,1998,Fire
Barry Pepper,Saving Private Ryan,1998,Explosives
Barry Pepper,The Green Mile,1999,Ailment
Barry Pepper,Flags of Our Fathers,2006,Firearms
Barry Pepper,True Grit,2010,Firearms
Barry Pepper,The Lone Ranger,2013,Vehicular
Barry Pepper,Awake,2021,Firearms
Jeffrey Tambor,Radioland Murders,1994,Strangulation
Jeffrey Tambor,Weapons of Mass Distraction,1997,Impact
Jeffrey Tambor,Theres Something About Mary,1998,Animals
Jeffrey Tambor,Operation: Endgame,2010,Supernatural
Jeffrey Tambor,Flypaper,2011,Firearms
Jeffrey Tambor,Lucky,2011,Firearms
Jeffrey Tambor,Branded,2012,Animals
Jeffrey Tambor,The Hangover Part III,2013,Ailment
Jeffrey Tambor,The Accountant,2016,Fire
John Goodman,C.H.U.D.,1984,Cutting Instrument
John Goodman,The Big Easy,1987,Firearms
John Goodman,Everybodys All-American,1988,Firearms
John Goodman,Barton Fink,1991,Firearms
John Goodman,The Babe,1992,Ailment
John Goodman,Fallen,1998,Impact
John Goodman,"O Brother, Where Art Thou?",2000,Impact
John Goodman,One Night at McCools,2001,Firearms
John Goodman,Death Sentence,2007,Firearms
John Goodman,Die Päpstin,2009,Poison
John Goodman,Argo,2012,Other
John Goodman,The Hangover Part III,2013,Firearms
John Goodman,Inside Llewyn Davis,2013,Narcotics
John Goodman,10 Cloverfield Lane,2016,Fire
John Goodman,Kong: Skull Island,2017,Firearms
John Goodman,Captive State,2019,Explosives
Trey Parker,Cannibal! The Musical!,1993,Cutting Instrument
Trey Parker,Tales from the Crapper,2004,Blunt Objects
Matt Stone,Cannibal! The Musical!,1993,Other
Matt Stone,Team America: World Police,2004,Explosives
Bobby Cannavale,Gloria,1999,Firearms
Bobby Cannavale,The Merry Gentleman,2008,Firearms
Bobby Cannavale,Spy,2015,Firearms
Bobby Cannavale,Jumanji: Welcome to the Jungle,2017,Vehicular
Bobby Cannavale,Ant-Man and the Wasp,2018,Animals
Bobby Cannavale,MaXXXine,2024,Firearms
Agnes Moorehead,Citizen Kane,1941,Ailment
Agnes Moorehead,Jane Eyre,1944,Ailment
Agnes Moorehead,Dark Passage,1947,Impact
Agnes Moorehead,How the West Was Won,1962,Drowning
Agnes Moorehead,"Hush...Hush, Sweet Charlotte",1964,Impact
K.T. Stevens,Port of New York,1949,Strangulation
K.T. Stevens,Missile to the Moon,1958,Explosives
K.T. Stevens,Theyre Playing With Fire,1984,Firearms
Dee Wallace,The Hills Have Eyes,1977,Firearms
Dee Wallace,The Howling,1981,Firearms
Dee Wallace,Im Dangerous Tonight,1990,Blunt Objects
Dee Wallace,The Frighteners,1996,Supernatural
Dee Wallace,"To Love, Honor & Betray",1999,Firearms
Dee Wallace,Boo,2005,Fire
Dee Wallace,Scar,2005,Cutting Instrument
Dee Wallace,The Plague,2006,Ailment
Dee Wallace,Voodoo Moon,2006,Cutting Instrument
Dee Wallace,Halloween,2007,Cutting Instrument
Dee Wallace,Exit Humanity,2011,Cutting Instrument
Dee Wallace,Red Christmas,2016,Strangulation
Dee Wallace,Death House,2017,Strangulation
Dee Wallace,3 from Hell,2019,Strangulation
Dee Wallace,Await the Dawn,2020,Other
Dee Wallace,House of Dolls,2023,Cutting Instrument
Dee Wallace,Stream,2024,Other
Michael J. Fox,Back to the Future Part III,1990,Personal Weapons
Michael J. Fox,Coldblooded,1995,Firearms
Michael J. Fox,The Frighteners,1996,Supernatural
Michael J. Fox,Mars Attacks!,1996,Blunt Objects
Michael J. Fox,Interstate 60,2002,Vehicular
Bruce Davison,Willard,1971,Other
Bruce Davison,"Mother, Jugs & Speed",1976,Narcotics
Bruce Davison,Short Eyes,1977,Cutting Instrument
Bruce Davison,Mourning Becomes Electra,1978,Firearms
Bruce Davison,Summer of My German Soldier,1978,Firearms
Bruce Davison,Longtime Companion,1990,Ailment
Bruce Davison,X-Men,2000,Other
Bruce Davison,Willard,2003,Cutting Instrument
Bruce Davison,Lords of Salem,2012,Personal Weapons
Bruce Davison,Persecuted,2014,Firearms
Bruce Davison,Itsy Bitsy,2019,Supernatural
Bruce Davison,Suitable Flesh,2023,Supernatural
Meg Foster,They Live,1988,Firearms
Meg Foster,Blind Fury,1989,Firearms
Meg Foster,Tripwire,1990,Firearms
Meg Foster,Diplomatic Immunity,1991,Firearms
Meg Foster,Relentless IV: Ashes to Ashes,1994,Fire
Meg Foster,Lords of Salem,2012,Fire
Meg Foster,31,2016,Cutting Instrument
Meg Foster,Overlord,2018,Firearms
Elliot Page,An American Crime,2007,Other
Elliot Page,Inception,2010,Cutting Instrument
Elliot Page,Super,2011,Firearms
Elliot Page,The East,2013,Firearms
Elliot Page,Flatliners,2017,Impact
Bonita Friedericy,The Stepdaughter,2000,Cutting Instrument
Bonita Friedericy,Percy Jackson & the Olympians: The Lightning Thief,2010,Weather
Bonita Friedericy,Lords of Salem,2012,Fire
Nancy Linehan Charles,Ed Gein,2000,Other
Nancy Linehan Charles,The Stepfather,2009,Strangulation
Nancy Linehan Charles,Lords of Salem,2012,Fire
Barbara Crampton,Re-Animator,1985,Strangulation
Barbara Crampton,Chopping Mall,1986,Fire
Barbara Crampton,Thy Neighbors Wife,2001,Poison
Barbara Crampton,Youre Next,2011,Cutting Instrument
Barbara Crampton,Lords of Salem,2012,Strangulation
Barbara Crampton,The Divine Tragedies,2015,Firearms
Barbara Crampton,Sun Choke,2015,Strangulation
Barbara Crampton,Puppet Master: The Littlest Reich,2018,Cutting Instrument
Barbara Crampton,Death House,2017,Other
Barbara Crampton,Replace,2017,Impact
Barbara Crampton,Stay Out Stay Alive,2019,Firearms
Barbara Crampton,Superhost,2021,Cutting Instrument
Flo Lawrence,Schizoid,1980,Cutting Instrument
Flo Lawrence,Lords of Salem,2012,Fire
Sheri Moon Zombie,Toolbox Murders,2004,Personal Weapons
Sheri Moon Zombie,The Devils Rejects,2005,Supernatural
Sheri Moon Zombie,Halloween,2007,Firearms
Sheri Moon Zombie,Lords of Salem,2012,Supernatural
Sheri Moon Zombie,31,2016,Cutting Instrument
Brynn Horrocks,Lords of Salem,2012,Fire
Suzanne Voss,Lords of Salem,2012,Fire
Susan Gray,Lords of Salem,2012,Fire
Rudy Ray Moore,Petey Wheatstraw,1977,Supernatural
Leroy Daniels,Petey Wheatstraw,1977,Supernatural
Ernest Mayhand,Petey Wheatstraw,1977,Supernatural
Albert Brooks,Private Benjamin,1980,Ailment
Albert Brooks,Terms of Endearment,1983,Other
Albert Brooks,Twilight Zone: The Movie,1983,Vehicular
Albert Brooks,Defending Your Life,1991,Vehicular
Albert Brooks,My First Mister,2001,Ailment
Albert Brooks,Drive,2011,Vehicular
Jim Carrey,The Dead Pool,1988,Drowning
Jim Carrey,Ace Ventura: Pet Detective,1994,Other
Jim Carrey,Man on the Moon,1999,Ailment
Jim Carrey,Bruce Almighty,2003,Vehicular
Jim Carrey,Yes Man,2008,Other
Jim Carrey,Anchorman 2: The Legend Continues,2013,Poison
Jim Carrey,Kick-Ass 2,2013,Personal Weapons
Jim Carrey,Dumb and Dumber To,2014,Personal Weapons
Jim Carrey,Dark Crimes,2016,Poison
Jim Carrey,Sonic The Hedgehog 3,2024,Explosives
John Cleese,And Now for Something Completely Different,1971,Explosives
John Cleese,Monty Python and the Holy Grail,1975,Animals
John Cleese,Monty Pythons Life of Brian,1979,Animals
John Cleese,Monty Pythons The Meaning of Life,1983,Animals
John Cleese,Yellowbeard,1983,Explosives
John Cleese,Erik The Viking,1989,Impact
John Cleese,Mary Shelleys Frankenstein,1994,Cutting Instrument
John Cleese,Parting Shots,1999,Firearms
John Cleese,Harry Potter and the Philosophers Stone,2001,Blunt Objects
John Cleese,Absolutely Anything,2015,Supernatural
John Cleese,The Palace,2023,Ailment
Aishwarya Rai Bachchan,Iruvar,1997,Vehicular
Aishwarya Rai Bachchan,Mohabbatein,2000,Impact
Aishwarya Rai Bachchan,Khakee,2004,Firearms
Aishwarya Rai Bachchan,Ponniyin Selvan 2,2023,Firearms
Alec Baldwin,Beetlejuice,1988,Vehicular
Alec Baldwin,Married to the Mob,1988,Firearms
Alec Baldwin,Miami Blues,1990,Firearms
Alec Baldwin,Alice,1990,Other
Alec Baldwin,Malice,1993,Firearms
Alec Baldwin,The Juror,1996,Firearms
Alec Baldwin,Looking for Richard,1996,Other
Alec Baldwin,The Edge,1997,Ailment
Alec Baldwin,Mercury Rising,1998,Poison
Alec Baldwin,Final Fantasy: The Spirits Within,2001,Supernatural
Alec Baldwin,The Adventures of Pluto Nash,2002,Other
Alec Baldwin,The Cooler,2003,Firearms
Alec Baldwin,Second Nature,2003,Cutting Instrument
Alec Baldwin,The Aviator,2004,Ailment
Alec Baldwin,Running with Scissors,2006,Ailment
Alec Baldwin,Brooklyn Rules,2007,Firearms
Alec Baldwin,Lymelife,2008,Firearms
Alec Baldwin,Blue Jasmine,2013,Strangulation
Alec Baldwin,Mission Impossible - Fallout,2018,Cutting Instrument
Alec Baldwin,Pixie,2020,Supernatural
Alec Baldwin,Supercell,2023,Drowning
Michael Keaton,Mr. Mom,1982,Firearms
Michael Keaton,Beetlejuice,1988,Ailment
Michael Keaton,Pacific Heights,1990,Cutting Instrument
Michael Keaton,My Life,1993,Ailment
Michael Keaton,Jack Frost,1998,Vehicular
Michael Keaton,White Noise,2005,Drowning
Michael Keaton,The Merry Gentleman,2008,Other
Michael Keaton,Penthouse North,2013,Impact
Michael Keaton,Birdman or,2014,Firearms
Michael Keaton,RoboCop,2014,Firearms
Michael Keaton,The Founder,2016,Ailment
Michael Keaton,The Protégé,2021,Firearms
Michael Keaton,The Flash,2023,Explosives
Michael Keaton,Beetlejuice Beetlejuice,2024,Supernatural
Tom Wilkinson,Royal Deceit,1994,Strangulation
Tom Wilkinson,Sense and Sensibility,1995,Ailment
Tom Wilkinson,Smillas Sense of Snow,1997,Drowning
Tom Wilkinson,Rush Hour,1998,Supernatural
Tom Wilkinson,If Only,2004,Supernatural
Tom Wilkinson,Stage Beauty,2004,Firearms
Tom Wilkinson,Michael Clayton,2007,Narcotics
Tom Wilkinson,RocknRolla,2008,Drowning
Tom Wilkinson,Valkyrie,2008,Supernatural
Tom Wilkinson,The Green Hornet,2011,Animals
Tom Wilkinson,Mission: Impossible - Ghost Protocol,2011,Supernatural
Tom Wilkinson,The Best Exotic Marigold Hotel,2012,Ailment
Tom Wilkinson,The Lone Ranger,2013,Impact
Tom Wilkinson,The Grand Budapest Hotel,2014,Other
Tom Wilkinson,SAS: Red Notice,2021,Firearms
Russell Crowe,Romper Stomper,1992,Cutting Instrument
Russell Crowe,Virtuosity,1995,Impact
Russell Crowe,Heavens Burning,1997,Firearms
Russell Crowe,Gladiator,2000,Cutting Instrument
Russell Crowe,Les Miserables,2012,Drowning
Russell Crowe,Man of Steel,2013,Cutting Instrument
Russell Crowe,Winters Tale,2014,Weather
Russell Crowe,Fathers & Daughters,2015,Impact
Russell Crowe,Unhinged,2020,Cutting Instrument
Russell Crowe,The Popes Exorcist,2023,Other
Russell Crowe,Kraven the Hunter,2024,Animals
Giancarlo Esposito,Maximum Overdrive,1986,Other
Giancarlo Esposito,Harley Davidson and the Marlboro Man,1991,Firearms
Giancarlo Esposito,Bob Roberts,1992,Animals
Giancarlo Esposito,Phoenix,1998,Supernatural
Giancarlo Esposito,Chupacabra Terror,2005,Supernatural
Giancarlo Esposito,Back in the Day,2005,Firearms
Giancarlo Esposito,The Jungle Book,2016,Animals
Giancarlo Esposito,The Show,2017,Other
Giancarlo Esposito,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,Supernatural
Giancarlo Esposito,Abigail,2024,Supernatural
Cillian Murphy,The Trench,1999,Other
Cillian Murphy,Disco Pigs,2001,Strangulation
Cillian Murphy,28 Days Later,2002,Ailment
Cillian Murphy,Cold Mountain,2003,Impact
Cillian Murphy,Red Eye,2005,Firearms
Cillian Murphy,The Wind that Shakes the Barley,2006,Firearms
Cillian Murphy,Sunshine,2007,Fire
Cillian Murphy,Inception,2010,Firearms
Cillian Murphy,In Time,2011,Other
Cillian Murphy,Retreat,2011,Firearms
Cillian Murphy,In the Heart of the Sea,2015,Drowning
Cillian Murphy,Anthropoid,2016,Firearms
Cillian Murphy,Free Fire,2016,Firearms
Hilary Sesta,Murder By Decree,1979,Cutting Instrument
Mary Tamm,Tales that Witness Madness,1973,Cutting Instrument
Mary Tamm,Three Kinds of Heat,1987,Firearms
Peter Fonda,Lilith,1964,Cutting Instrument
Peter Fonda,Spirits of the Dead,1968,Supernatural
Peter Fonda,Easy Rider,1969,Firearms
Peter Fonda,The Hired Hand,1971,Firearms
Peter Fonda,Dirty Mary Crazy Larry,1974,Vehicular
Peter Fonda,Open Season,1974,Firearms
Peter Fonda,92 in the Shade,1975,Supernatural
Peter Fonda,Futureworld,1976,Impact
Peter Fonda,Mercenary Fighters,1988,Explosives
Peter Fonda,Nadja,1994,Vehicular
Peter Fonda,The Limey,1999,Firearms
Peter Fonda,3:10 to Yuma,2007,Impact
Peter Fonda,The Boondock Saints II: All Saints Day,2009,Firearms
Peter Fonda,The Runner,2015,Other
Michael K. Williams,Bullet,1996,Firearms
Michael K. Williams,Bringing Out the Dead,1999,Narcotics
Michael K. Williams,Miracle at St. Anna,2008,Firearms
Michael K. Williams,Brooklyns Finest,2009,Firearms
Michael K. Williams,The Road,2009,Other
Michael K. Williams,12 Years a Slave,2013,Cutting Instrument
Michael K. Williams,Snitch,2013,Firearms
Michael K. Williams,Superfly,2018,Firearms
Michael K. Williams,Surrounded,2023,Firearms
Idris Elba,Buffalo Soldiers,2001,Poison
Idris Elba,American Gangster,2007,Firearms
Idris Elba,The Reaping,2007,Cutting Instrument
Idris Elba,The Unborn,2009,Blunt Objects
Idris Elba,The Losers,2010,Explosives
Idris Elba,Ghost Rider: Spirit of Vengeance,2012,Supernatural
Idris Elba,Prometheus,2012,Explosives
Idris Elba,Pacific Rim,2013,Explosives
Idris Elba,No Good Deed,2014,Firearms
Idris Elba,The Jungle Book,2016,Animals
Idris Elba,Star Trek Beyond,2016,Explosives
Idris Elba,Avengers: Infinity War,2018,Cutting Instrument
Idris Elba,Fast & Furious Presents: Hobbs and Shaw,2019,Personal Weapons
Idris Elba,Cats,2019,Other
Idris Elba,The Harder They Fall,2021,Impact
Iftekhar,Don,1978,Firearms
Helen,Woh Kaun Thi?,1964,Other
Helen,Gumnaam,1965,Strangulation
Helen,Pagla Kahin Ka,1970,Impact
Helen,Don,1978,Narcotics
Sharad Kumar,Don,1978,Firearms
Peter Serafinowicz,Star Wars Episode I: The Phantom Menace,1999,Supernatural
Peter Serafinowicz,Shaun of the Dead,2004,Supernatural
Peter Serafinowicz,Guardians of the Galaxy,2014,Explosives
Jonathan Banks,48 Hrs.,1982,Firearms
Jonathan Banks,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,Other
Jonathan Banks,Beverly Hills Cop,1984,Firearms
Jonathan Banks,Gremlins,1984,Vehicular
Jonathan Banks,Cold Steel,1987,Firearms
Jonathan Banks,Dont Touch My Daughter,1991,Other
Jonathan Banks,Freejack,1992,Firearms
Jonathan Banks,Boiling Point,1993,Other
Jonathan Banks,Body Shot,1993,Firearms
Jonathan Banks,Under Siege 2: Dark Territory,1995,Vehicular
Jonathan Banks,Dark Breed,1996,Explosives
Jonathan Banks,R.S.V.P,2002,Personal Weapons
Jonathan Banks,Bullet,2014,Firearms
Jonathan Banks,Mudbound,2017,Strangulation
Jonathan Banks,The Commuter,2018,Impact
Jonathan Banks,Redbad,2018,Ailment
Zeljko Ivanek,Dogville,2003,Firearms
Zeljko Ivanek,The Bourne Legacy,2012,Firearms
Zeljko Ivanek,Seven Psychopaths,2012,Firearms
Michael Bowen,Forbidden World,1982,Other
Michael Bowen,Night of the Comet,1984,Blunt Objects
Michael Bowen,Mortal Passions,1989,Vehicular
Michael Bowen,The Godfather Part III,1990,Firearms
Michael Bowen,Beverly Hills Cop III,1994,Firearms
Michael Bowen,Love and a .45,1994,Firearms
Michael Bowen,True Crime,1996,Strangulation
Michael Bowen,Kill Bill: Vol. 1,2003,Blunt Objects
Michael Bowen,Walking Tall,2004,Firearms
Michael Bowen,Autopsy,2008,Blunt Objects
Michael Bowen,Cabin Fever 2: Spring Fever,2009,Ailment
Michael Bowen,The Last House on the Left,2009,Impact
Michael Bowen,Django Unchained,2012,Firearms
Michael Bowen,Deep Dark Canyon,2013,Firearms
Michael Bowen,All Cheerleaders Die,2013,Other
Carrie-Anne Moss,New Blood,2000,Firearms
Carrie-Anne Moss,The Matrix Reloaded,2003,Firearms
Carrie-Anne Moss,The Matrix Revolutions,2003,Cutting Instrument
Carrie-Anne Moss,Minis First Time,2006,Poison
Carrie-Anne Moss,Unthinkable,2010,Explosives
Carrie-Anne Moss,Silent Hill: Revelation,2012,Animals
Carrie-Anne Moss,Pompeii,2014,Impact
Carrie-Anne Moss,Frankenstein,2015,Cutting Instrument
Martin Donovan,Amateur,1994,Firearms
Martin Donovan,Insomnia,2002,Firearms
Martin Donovan,The Quiet,2005,Strangulation
Martin Donovan,The Sentinel,2006,Firearms
Martin Donovan,Wind Chill,2007,Vehicular
Martin Donovan,Silent Hill: Revelation,2012,Cutting Instrument
Martin Donovan,Nurse 3D,2014,Vehicular
Eric Judor,Wrong,2012,Ailment
Alexis Dziena,Wrong,2012,Cutting Instrument
Kareena Kapoor,Fida,2004,Firearms
Kareena Kapoor,Don,2006,Narcotics
Kareena Kapoor,Agent Vinod,2012,Firearms
Kareena Kapoor,Udta Punjab,2016,Cutting Instrument
Kareena Kapoor,Omkara,2006,Strangulation
Kareena Kapoor,Laal Singh Chaddha,2022,Ailment
Byron Mann,Crying Freeman,1995,Firearms
Byron Mann,Red Corner,1997,Firearms
Byron Mann,American Dragons,1998,Supernatural
Byron Mann,The Corruptor,1999,Firearms
Byron Mann,Belly Of The Beast,2003,Supernatural
Byron Mann,Catwoman,2004,Blunt Objects
Byron Mann,A Dangerous Man,2009,Explosives
Byron Mann,The Man with the Iron Fists,2012,Animals
Aaron Paul,Bad Girls from Valley High,2005,Other
Aaron Paul,The Last House on the Left,2009,Cutting Instrument
Aaron Paul,Decoding Annie Parker,2013,Ailment
Aaron Paul,Triple 9,2016,Firearms
Aaron Paul,Central Intelligence,2016,Firearms
Aaron Paul,The 9th Life of Louis Drax,2016,Ailment
Aaron Paul,Come and Find Me,2016,Firearms
Aaron Paul,The Parts You Lose,2019,Firearms
Zac Efron,Charlie St. Cloud,2010,Vehicular
Zac Efron,Parkland,2013,Other
Zac Efron,"Extremely Wicked, Shocking Evil and Vile",2019,Other
Zac Efron,Firestarter,2022,Fire
Zac Efron,Gold,2022,Animals
Ronny Cox,Deliverance,1972,Impact
Ronny Cox,Gray Lady Down,1978,Drowning
Ronny Cox,RoboCop,1987,Impact
Ronny Cox,Total Recall,1990,Explosives
Josef Altin,Eastern Promises,2007,Cutting Instrument
Josef Altin,Vendetta,2013,Firearms
Josef Altin,Child 44,2015,Other
Josef Altin,Star Wars: The Rise of Skywalker,2019,Firearms
Antonia Thomas,Survivor,2015,Other
Joe Gilgun,Harry Brown,2009,Firearms
Joe Gilgun,Lockout,2012,Explosives
Joe Gilgun,The Infiltrator,2016,Ailment
Lauren Socha,Fanged Up,2017,Supernatural
Robert Goulet,Beetlejuice,1988,Firearms
Robert Goulet,The Naked Gun 2 1/2: The Smell of Fear,1991,Firearms
Chris Rock,New Jack City,1991,Strangulation
Chris Rock,Dogma,1999,Blunt Objects
Chris Rock,Nurse Betty,2000,Firearms
Chris Rock,Down to Earth,2001,Cutting Instrument
Chris Rock,Pootie Tang,2001,Animals
Chris Rock,A.I.: Artificial Intelligence,2001,Firearms
Chris Rock,Bad Company,2002,Firearms
Chris Rock,Head of State,2003,Firearms
Chris Rock,The Longest Yard,2005,Fire
Ruth Negga,Loving,2016,Other
Ruth Negga,Passing,2021,Impact
Robert Sheehan,Geostorm,2017,Other
Rihanna,This is the End,2013,Impact
Rihanna,Valerian and the City of a Thousand Planets,2017,Other
Cory Monteith,Bloody Mary,2006,Cutting Instrument
Bokeem Woodbine,Jasons Lyric,1994,Firearms
Bokeem Woodbine,Panther,1995,Animals
Bokeem Woodbine,Freeway,1996,Vehicular
Bokeem Woodbine,The Rock,1996,Blunt Objects
Bokeem Woodbine,Gridlockd,1997,Firearms
Bokeem Woodbine,Caught Up,1998,Firearms
Bokeem Woodbine,Wishmaster 2: Evil Never Dies,1999,Animals
Bokeem Woodbine,3000 Miles to Graceland,2001,Firearms
Bokeem Woodbine,Hard Cash,2002,Blunt Objects
Bokeem Woodbine,Sniper 2,2003,Firearms
Bokeem Woodbine,The Last Sentinel,2007,Firearms
Bokeem Woodbine,The Fifth Commandment,2008,Firearms
Bokeem Woodbine,Caught on Tape,2010,Firearms
Bokeem Woodbine,Devil,2010,Supernatural
Bokeem Woodbine,Total Recall,2012,Firearms
Bokeem Woodbine,Riddick,2013,Cutting Instrument
Bokeem Woodbine,Jarhead 2: Field of Fire,2014,Firearms
Bokeem Woodbine,The Night Crew,2015,Firearms
Bokeem Woodbine,Overlord,2018,Firearms
Bokeem Woodbine,In the Shadow of the Moon,2019,Firearms
Adolph Caesar,A Soldiers Story,1984,Drowning
Larry Riley,A Soldiers Story,1984,Strangulation
Max Minghella,The Darkest Hour,2011,Explosives
Max Minghella,Horns,2013,Strangulation
